Item,Vendor,Vendor Name,Description,Facility,Daily Movement,Days Supply,Cases In House,Pallets In House
3505240,3177,AMERICAS BEV JUICE,KRO SPICED APPLE CIDER,0-Grocery,1,14.0,14,1
3591742,3171,AMERICAS BEV SODA,KRO KIWI SPARKLING WATER,0-Grocery,11,7.3,80,2
3592044,3171,AMERICAS BEV SODA,KRO BLU RAZ SPKG WTR 12PK,0-Grocery,113,1.8,209,1
3596373,3171,AMERICAS BEV SODA,KRO KEYLIME SPRKLNG WATER,0-Grocery,13,6.2,80,2
3596458,3171,AMERICAS BEV SODA,KRO WHT GRP SPRKLNG WATER,0-Grocery,11,8.5,94,2
3596475,3171,AMERICAS BEV SODA,KRO PEACH SPARKLING WATER,0-Grocery,21,4.4,93,2
3596524,3171,AMERICAS BEV SODA,KRO LMN LIME SPRKLNG WTR,0-Grocery,25,4.2,105,2
3597011,3171,AMERICAS BEV SODA,KRO SB LMD SPKG WTR 12PK,0-Grocery,148,5.8,856,5
3500149,3177,AMERICAS BEV JUICE,KRO PINEAPPLE JUICE,0-Grocery,15,6.0,90,2
3500159,3177,AMERICAS BEV JUICE,KRO PRUNE JUICE,0-Grocery,6,7.3,44,1
3500265,3177,AMERICAS BEV JUICE,KRO CRANBRY JCE COCKTAIL,0-Grocery,9,12.9,116,2
3500286,3177,AMERICAS BEV JUICE,KRO 100% CRANBERRY JUICE,0-Grocery,10,8.2,82,2
3501078,3177,AMERICAS BEV JUICE,KRO WHITE CRAN STRAW CKTL,0-Grocery,10,15.9,159,3
3501086,3177,AMERICAS BEV JUICE,KRO WHITE CRAN PEACH CKTL,0-Grocery,9,11.4,103,2
3501277,3177,AMERICAS BEV JUICE,KRO CRAN RASPBERRY CKTL,0-Grocery,6,8.7,52,1
3501900,3177,AMERICAS BEV JUICE,KRO CRNBRY JUICE ZERO SGR,0-Grocery,9,11.8,106,2
3503225,3177,AMERICAS BEV JUICE,SMRTWY 100% APPLE JUICE,0-Grocery,10,2.7,27,1
3503989,3177,AMERICAS BEV JUICE,KRO CRAN GRAPE 100% JCE,0-Grocery,4,5.0,20,1
3504013,3177,AMERICAS BEV JUICE,KRO GRAPE CRANBRY JC CKTL,0-Grocery,7,150.4,"1,053",17
3504928,3177,AMERICAS BEV JUICE,KRO 100% WHT GRAPE JUICE,0-Grocery,7,13.7,96,2
3505077,3170,ABC DC035 WATER,KRO PURIFIED WATER 24PK,0-Grocery,119,13.4,"1,595",1518
3505191,3177,AMERICAS BEV JUICE,KRO 100% APPLE JUICE,0-Grocery,166,9.7,"1,602",25
3505210,3177,AMERICAS BEV JUICE,KRO 100% GRAPE JUICE,0-Grocery,13,9.8,127,2
3505377,3177,AMERICAS BEV JUICE,KRO CRAN APPLE JUICE CKTL,0-Grocery,6,216.0,"1,296",21
3505485,3177,AMERICAS BEV JUICE,KRO LT APPLE JUICE CKTL,0-Grocery,7,9.7,68,2
3505661,3177,AMERICAS BEV JUICE,KRO ZERO HLF TEA HLF LMND,0-Grocery,4,12.5,50,1
3581105,3171,AMERICAS BEV SODA,KRO BK VAN CRM SODA 12PK,0-Grocery,66,1.1,73,1
3581106,3171,AMERICAS BEV SODA,KRO BK PEACH SODA 12PK,0-Grocery,18,0.9,16,1
3591346,3177,AMERICAS BEV JUICE,ST RSPB YUZU SLTZ WTR 8PK,0-Grocery,7,22.1,155,2
3591347,3177,AMERICAS BEV JUICE,ST CUCM MLN SLTZ WTR 8PK,0-Grocery,10,4.9,49,1
3591385,3177,AMERICAS BEV JUICE,ST MGO GPFT SLTZ WTR 8PK,0-Grocery,10,20.1,201,2
3591386,3177,AMERICAS BEV JUICE,ST PINEAPPLE SLTZ WTR 8PK,0-Grocery,12,10.8,129,2
3591397,3177,AMERICAS BEV JUICE,ST LMN LME SLTZ WTR 8PK,0-Grocery,22,5.3,117,2
3591399,3177,AMERICAS BEV JUICE,ST ORNG VAN SLTZ WTR 8PK,0-Grocery,8,16.6,133,2
3591401,3177,AMERICAS BEV JUICE,ST STBY WML SLTZ WTR 8PK,0-Grocery,23,7.7,178,2
3591402,3177,AMERICAS BEV JUICE,ST TANG LMNGS SZ WTR 8PK,0-Grocery,7,10.4,73,1
3591403,3177,AMERICAS BEV JUICE,ST PRKLY PR SLTZ WTR 8PK,0-Grocery,10,20.9,209,3
3591405,3177,AMERICAS BEV JUICE,ST POM CRAN SLTZ WTR 8PK,0-Grocery,17,9.1,154,2
3591407,3171,AMERICAS BEV SODA,KRO BK PEACH SODA 12PK,0-Grocery,71,14.8,"1,053",6
3591446,3170,ABC DC035 WATER,ST VPR DSTLD WTR ELC 24PK,0-Grocery,643,7.3,"4,675",60
3591670,3171,AMERICAS BEV SODA,KRO ORG SPKG WATER 12PK,0-Grocery,503,5.9,"2,967",15
3591671,3171,AMERICAS BEV SODA,KRO MND ORG SPKG WTR 12PK,0-Grocery,96,10.2,977,5
3591673,3171,AMERICAS BEV SODA,KRO CRN LM SPKG WTR 12PK,0-Grocery,112,5.1,566,3
3591675,3171,AMERICAS BEV SODA,KRO BKBRY SPKG WTR 12PK,0-Grocery,124,2.6,321,2
3591676,3171,AMERICAS BEV SODA,KRO LEMON SPKG WTR 12PK,0-Grocery,64,19.9,"1,271",7
3591681,3171,AMERICAS BEV SODA,KRO BLK CHRY SPRKLNG WATR,0-Grocery,23,5.5,127,2
3591741,3171,AMERICAS BEV SODA,KRO LMN LM SPKG WTR 12PK,0-Grocery,335,1.4,455,3
3592362,3171,AMERICAS BEV SODA,KRO GOCR CLUB SODA,0-Grocery,38,1.2,45,1
3592712,3171,AMERICAS BEV SODA,KRO BK ZERO COLA 12PK,0-Grocery,222,0.6,124,1
3594364,3171,AMERICAS BEV SODA,KRO BK ROOT BEER,0-Grocery,32,0.2,7,1
3594378,3171,AMERICAS BEV SODA,KRO BK LMN LIME,0-Grocery,42,0.4,15,1
3594460,3171,AMERICAS BEV SODA,KRO BK DIET COLA,0-Grocery,37,0.1,4,1
3594656,3171,AMERICAS BEV SODA,KRO BK ZERO GNG ALE 12PK,0-Grocery,51,3.0,154,1
3594735,3177,AMERICAS BEV JUICE,STO 100% ORG APPLE JUICE,0-Grocery,13,7.9,103,2
3595134,3177,AMERICAS BEV JUICE,KRO TONIC WATER 8PK,0-Grocery,7,17.3,121,2
3595224,3171,AMERICAS BEV SODA,KRO SPARKLING WATER,0-Grocery,45,3.2,144,3
3595237,3171,AMERICAS BEV SODA,KRO SPKLG WATER,0-Grocery,19,2.4,46,1
3595259,3171,AMERICAS BEV SODA,KRO BK DR K  CRM SODA 2L,0-Grocery,15,2.0,30,1
3595308,3177,AMERICAS BEV JUICE,KRO CLUB SODA 8PK,0-Grocery,27,5.7,155,2
3595356,3177,AMERICAS BEV JUICE,KRO GINGER BEER ZERO 8PK,0-Grocery,12,6.8,82,1
3595417,3177,AMERICAS BEV JUICE,KRO GINGER BEER 8PK,0-Grocery,13,7.2,93,1
3595523,3177,AMERICAS BEV JUICE,KRO ZERO SGR TNIC WTR 8PK,0-Grocery,10,12.6,126,2
3595647,3171,AMERICAS BEV SODA,KRO ZERO SUGAR TONIC,0-Grocery,24,3.3,80,2
3595690,3171,AMERICAS BEV SODA,KRO BK GRAPFRT ZERO 12PK,0-Grocery,74,1.6,117,1
3595832,3171,AMERICAS BEV SODA,KRO PEACH SPKG WTR 12PK,0-Grocery,79,1.9,154,1
3595889,3170,ABC DC035 WATER,KRO PURIFIED DR WTR 40PK,0-Grocery,106,19.2,"2,032",2025
3595922,3171,AMERICAS BEV SODA,KRO BK ZERO ORANGE 12PK,0-Grocery,74,4.2,312,2
3595955,3171,AMERICAS BEV SODA,KRO BK GRAPEFRUIT 12PK,0-Grocery,29,3.9,114,1
3596097,3171,AMERICAS BEV SODA,KRO BK ZERO LMN/LIME 12PK,0-Grocery,73,2.8,206,1
3596160,3171,AMERICAS BEV SODA,KRO BK ZR CHRY COLA 12PK,0-Grocery,82,1.4,115,1
3596182,3171,AMERICAS BEV SODA,KRO BK ZERO CTRS DRP 12PK,0-Grocery,63,5.3,337,2
3596225,3171,AMERICAS BEV SODA,KRO BK DR K ZERO 12PK,0-Grocery,121,3.7,447,3
3596346,3171,AMERICAS BEV SODA,KRO BK DR KCRM SODA 12PK,0-Grocery,39,5.7,222,2
3596350,3171,AMERICAS BEV SODA,KRO BLD ORNG SPKLG WTR,0-Grocery,16,5.3,85,2
3596366,3171,AMERICAS BEV SODA,KRO STRWBRY SPRKLNG WATER,0-Grocery,12,5.6,67,2
3596398,3171,AMERICAS BEV SODA,KRO BERRY SPARKLING WATER,0-Grocery,18,5.8,105,2
3596520,3171,AMERICAS BEV SODA,KRO GRPFRT SPKG WTR 12PK,0-Grocery,91,5.4,487,3
3597007,3171,AMERICAS BEV SODA,KRO MOJITO SPKLG WTR 12PK,0-Grocery,42,8.3,348,2
3597165,3171,AMERICAS BEV SODA,KRO BK ORANGE ZERO,0-Grocery,25,1.1,28,1
3597215,3171,AMERICAS BEV SODA,KRO BK GNG ALE ZERO,0-Grocery,19,1.3,24,1
3597305,3171,AMERICAS BEV SODA,KRO WATERMELON SODA 2LT,0-Grocery,11,1.2,13,1
