Wskusku,Description,Location,High,Tie,Case Height,Case Depth,Case Width,Case Weight
3590085,LG MC MSHRM HOUSE 21270       ,91JN02              ,4,16,11.02,11.77,9.65,6.06
3590485,LEGO MEDIEVAL DRAGN 31161     ,91JN73              ,4,12,11.02,15.67,9.57,9.08
3591055,LG NINJGO JAY CAR 71856       ,91JP02              ,4,20,11.02,9.57,9.37,4.48
3592170,BLW POP 36 HL ELEC BBL GN     ,91JP22              ,3,4,11.00,22.00,14.00,24.00
3591212,LG ART LOVE 31214             ,91JP53              ,4,12,11.02,15.67,9.92,7.27
3592200,PT CATCH N THROW 3PC SET      ,91JP73              ,3,4,11.00,22.00,14.00,24.00
3591213,LG HP BOOKNOOK 76450          ,91JQ02              ,2,20,18.66,11.69,7.56,6.61
3591410,LEGO CITY F1 60445            ,91JQ22              ,2,16,22.01,11.77,9.92,12.50
3591413,LEGO NJ NINJA 71866           ,91JQ53              ,4,20,11.02,9.57,9.37,4.56
3591714,LEGO BTNCLS TULIP 11501       ,91JQ73              ,4,12,11.02,15.67,9.02,5.80
3592109,LEGO ICONS 10313              ,91JR02              ,4,12,11.02,15.67,9.57,6.48
3583154,DOWNY BEADS  SHPR             ,91JR22              ,1,8,47.00,17.25,12.94,47.20
3592115,LG BOTANICAL ORCHID 10311     ,91JR53              ,4,12,11.02,15.67,9.02,5.68
3570048,WNDR PISTACHIOS VAR SHPR      ,91JR73              ,1,7,38.81,18.75,11.50,30.62
3592116,LG IC TINY PLANTS 10329       ,91JS02              ,4,12,11.02,15.67,9.57,7.26
3585193,HAMP PNTS IS RS TX RNGRS      ,91JS22              ,5,7,7.40,21.80,12.80,15.00
3592117,LEGO DSNY WALL-E 43279        ,91JS53              ,4,19,11.02,11.77,8.15,4.37
3582982,TIDE EVO 42CT MXD PLLT        ,91JS73              ,1,4,57.87,24.00,20.00,114.34
3520650,POP-TARTS STUFFED SHPR        ,91JT02              ,2,9,22.75,15.63,13.25,39.86
